Date Last Modified,Institution Code,Collection Code,Catalog Number,Record URL,Scientific Name,Basis of record,Citation,Kingdom,Phylum,Class,Order,Family,Genus,species,Year Identified,Month Identified,Day Identified,Year Collected,Month Collected,Day Collected,Time of Day,Locality,Longitude,Latitude,Sex,Notes,Length (m),Marked Individual,Location ID,Submitter Email Address
1/15/2017,WILDME,RhincodonTypus,bafe9fc7-5f0e-4497-85c5-2be3bc01f2f7,http://www.whaleshark.org/encounters/encounter.jsp?number=bafe9fc7-5f0e-4497-85c5-2be3bc01f2f7,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,9,2016,4,9,15:45,Shib Habil,40.22798,20.0935,male,,,R-103,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,3f2d766e-040e-444e-8903-6b7f0211b8a7,http://www.whaleshark.org/encounters/encounter.jsp?number=3f2d766e-040e-444e-8903-6b7f0211b8a7,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,9,2016,4,9,15:45,Shib Habil,40.22798,20.0935,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,ea19cb85-a9a8-44d1-81c0-a51a6f9a8d01,http://www.whaleshark.org/encounters/encounter.jsp?number=ea19cb85-a9a8-44d1-81c0-a51a6f9a8d01,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,8,2016,4,8,8:45,Shib Habil,40.2077,20.1298,male,,,R-103,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/20/2017,WILDME,RhincodonTypus,4fa76027-0e71-4ba7-8366-4c64674358af,http://www.whaleshark.org/encounters/encounter.jsp?number=4fa76027-0e71-4ba7-8366-4c64674358af,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,4,2016,4,4,8:47,Shib Habil,40.21155,20.12124,male,,,R-123,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,f46e7aee-a76a-490b-b9a5-a14d04cdd291,http://www.whaleshark.org/encounters/encounter.jsp?number=f46e7aee-a76a-490b-b9a5-a14d04cdd291,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,4,2016,4,4,8:09,Shib Habil,40.20886,20.1228,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,b5670599-f7d7-4572-b2e0-422f67886ab5,http://www.whaleshark.org/encounters/encounter.jsp?number=b5670599-f7d7-4572-b2e0-422f67886ab5,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,3,2016,4,3,8:20,Shib Habil,40.21034,20.12773,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,8e53234e-c5ea-4caa-bd40-4608e5be4efd,http://www.whaleshark.org/encounters/encounter.jsp?number=8e53234e-c5ea-4caa-bd40-4608e5be4efd,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,1,2016,4,1,8:15,Shib Habil,40.21313,20.11902,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,094bb948-6c1a-4fbd-9f66-69d36f20df1d,http://www.whaleshark.org/encounters/encounter.jsp?number=094bb948-6c1a-4fbd-9f66-69d36f20df1d,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,3,31,2016,3,31,7:40,Shib Habil,40.21187,20.11777,male,,,R-074,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,9af18b5d-7934-4d02-b7ec-f4c5c84955ad,http://www.whaleshark.org/encounters/encounter.jsp?number=9af18b5d-7934-4d02-b7ec-f4c5c84955ad,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,3,31,2016,3,31,13:48,Shib Habil,40.22027,20.10792,male,,,R-107,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,208a40cc-cc91-435b-935b-6eb749c62199,http://www.whaleshark.org/encounters/encounter.jsp?number=208a40cc-cc91-435b-935b-6eb749c62199,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,3,26,2016,3,26,8:38,Shib Habil,40.21228,20.11906,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,afb62f0b-e3b5-4e76-9a4d-f6e97cc293d6,http://www.whaleshark.org/encounters/encounter.jsp?number=afb62f0b-e3b5-4e76-9a4d-f6e97cc293d6,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,3,24,2016,3,24,8:45,Shib Habil,40.20275,20.1235,female,,,R-072,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/17/2017,WILDME,RhincodonTypus,b9613640-6f3e-43a1-a756-4f5a35d83c4d,http://www.whaleshark.org/encounters/encounter.jsp?number=b9613640-6f3e-43a1-a756-4f5a35d83c4d,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,5,9,2015,5,9,,Red Sea,,,male,,,R-106,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/19/2017,WILDME,RhincodonTypus,a8866e8b-81dd-4a8e-8edd-7d57b5542adb,http://www.whaleshark.org/encounters/encounter.jsp?number=a8866e8b-81dd-4a8e-8edd-7d57b5542adb,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,5,8,2015,5,8,,Red Sea,,,female,,,R-061,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
11/26/2016,WILDME,RhincodonTypus,0259a67c-57af-4b56-ad9d-9924f895da3c,http://www.whaleshark.org/encounters/encounter.jsp?number=0259a67c-57af-4b56-ad9d-9924f895da3c,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,5,8,2015,5,8,,Red Sea,,,female,,,R-058,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/17/2017,WILDME,RhincodonTypus,0f092416-2afc-477f-af52-27d87004f1db,http://www.whaleshark.org/encounters/encounter.jsp?number=0f092416-2afc-477f-af52-27d87004f1db,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,5,2,2015,5,2,,Red Sea,,,,,,R-105,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,53559bb1-ccb9-48e2-8463-5a8ac03154bd,http://www.whaleshark.org/encounters/encounter.jsp?number=53559bb1-ccb9-48e2-8463-5a8ac03154bd,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,5,1,2015,5,1,,Red Sea,,,male,,,R-103,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,09ae6724-59bf-4d25-a3e7-bc419a6640a8,http://www.whaleshark.org/encounters/encounter.jsp?number=09ae6724-59bf-4d25-a3e7-bc419a6640a8,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,29,2015,4,29,,Red Sea,,,male,,,R-060,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,18a3e0a1-60fb-41e6-91a3-e887b5110d16,http://www.whaleshark.org/encounters/encounter.jsp?number=18a3e0a1-60fb-41e6-91a3-e887b5110d16,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,28,2015,4,28,,Red Sea,,,male,,,R-103,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,02758bf8-93b2-4278-9b19-b3baadd8abb7,http://www.whaleshark.org/encounters/encounter.jsp?number=02758bf8-93b2-4278-9b19-b3baadd8abb7,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,28,2015,4,28,,Red Sea,,,female,,,R-072,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,e73511ce-6916-4559-a557-e5525977cdda,http://www.whaleshark.org/encounters/encounter.jsp?number=e73511ce-6916-4559-a557-e5525977cdda,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,26,2015,4,26,,Red Sea,,,male,,,R-103,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/17/2017,WILDME,RhincodonTypus,e678daf6-8af9-454a-ad51-13bd5c19e191,http://www.whaleshark.org/encounters/encounter.jsp?number=e678daf6-8af9-454a-ad51-13bd5c19e191,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,25,2015,4,25,,Red Sea,,,male,,,R-106,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,58e1479d-8e34-4600-8926-1951c81dfbb8,http://www.whaleshark.org/encounters/encounter.jsp?number=58e1479d-8e34-4600-8926-1951c81dfbb8,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,25,2015,4,25,,Red Sea,,,female,,,R-064,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,b8b335a1-fcfe-48a1-b3ed-c4bf7b12744c,http://www.whaleshark.org/encounters/encounter.jsp?number=b8b335a1-fcfe-48a1-b3ed-c4bf7b12744c,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,19,2015,4,19,,Red Sea,,,male,,,R-060,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,4bda8949-a804-447d-b5ff-4f81fc4ce834,http://www.whaleshark.org/encounters/encounter.jsp?number=4bda8949-a804-447d-b5ff-4f81fc4ce834,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,17,2015,4,17,,Red Sea,,,female,,,R-064,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,6d1b9d0e-9ca8-434d-8cac-450c5a2e601c,http://www.whaleshark.org/encounters/encounter.jsp?number=6d1b9d0e-9ca8-434d-8cac-450c5a2e601c,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,17,2015,4,17,,Red Sea,,,male,,,R-074,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/23/2017,WILDME,RhincodonTypus,a8937cb0-902e-4edc-ba8b-44ad82d96ab3,http://www.whaleshark.org/encounters/encounter.jsp?number=a8937cb0-902e-4edc-ba8b-44ad82d96ab3,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,17,2015,4,17,,Red Sea,,,male,,,R-136,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/13/2017,WILDME,RhincodonTypus,0f394be6-02f6-474b-9c74-c45d456350e2,http://www.whaleshark.org/encounters/encounter.jsp?number=0f394be6-02f6-474b-9c74-c45d456350e2,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,5,2015,4,5,,Red Sea,,,female,,,R-058,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/19/2017,WILDME,RhincodonTypus,f86d1a2c-b719-4b06-a952-b7692a5cdb19,http://www.whaleshark.org/encounters/encounter.jsp?number=f86d1a2c-b719-4b06-a952-b7692a5cdb19,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,4,4,2015,4,4,,Red Sea,,,male,,,R-117,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
11/26/2016,WILDME,RhincodonTypus,d615bc1b-eeae-4223-8604-27b3ea2913ce,http://www.whaleshark.org/encounters/encounter.jsp?number=d615bc1b-eeae-4223-8604-27b3ea2913ce,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,3,21,2015,3,21,,Red Sea,,,female,,,R-058,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
3/21/2017,WILDME,RhincodonTypus,4fda1557-a4ad-4339-a0ee-c7088add5e52,http://www.whaleshark.org/encounters/encounter.jsp?number=4fda1557-a4ad-4339-a0ee-c7088add5e52,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,3,20,2015,3,20,4:00,Red Sea,,,male,,,R-040,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,6c38becf-7e40-4a76-807f-f75ec6929b4d,http://www.whaleshark.org/encounters/encounter.jsp?number=6c38becf-7e40-4a76-807f-f75ec6929b4d,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,3,20,2015,3,20,,Red Sea,,,female,,,R-072,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,3a5fa2d9-b5b2-4ca7-a626-326dda1a1e1d,http://www.whaleshark.org/encounters/encounter.jsp?number=3a5fa2d9-b5b2-4ca7-a626-326dda1a1e1d,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,3,20,2015,3,20,,Red Sea,,,female,,,R-110,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/20/2017,WILDME,RhincodonTypus,aa0ee3ca-ffdb-4b7a-820e-d70d3dec9c0a,http://www.whaleshark.org/encounters/encounter.jsp?number=aa0ee3ca-ffdb-4b7a-820e-d70d3dec9c0a,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2015,3,17,2015,3,17,,Red Sea,,,male,,,R-125,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/19/2017,WILDME,RhincodonTypus,b578d485-7c9f-40c9-8f5a-6d27f0ae8baa,http://www.whaleshark.org/encounters/encounter.jsp?number=b578d485-7c9f-40c9-8f5a-6d27f0ae8baa,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,26,2014,4,26,,Red Sea,,,female,,,R-121,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,7386ec41-09bd-4048-8922-eef7f9521cb6,http://www.whaleshark.org/encounters/encounter.jsp?number=7386ec41-09bd-4048-8922-eef7f9521cb6,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,19,2014,4,19,,Red Sea,,,male,,,R-113,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
3/6/2017,WILDME,RhincodonTypus,2018cad2-d029-4c00-9bbe-3a4d2171f0ab,http://www.whaleshark.org/encounters/encounter.jsp?number=2018cad2-d029-4c00-9bbe-3a4d2171f0ab,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,18,2014,4,18,,Near Al Lith Saudi Arabia,38.91357422,21.00247105,,0748AM,,,RedSea-ShibHabil,jsandrin@aol.com
11/17/2016,WILDME,RhincodonTypus,00b8afbf-78c3-43f8-affa-9cc2cff87ea1,http://www.whaleshark.org/encounters/encounter.jsp?number=00b8afbf-78c3-43f8-affa-9cc2cff87ea1,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,18,2014,4,18,,Red Sea,,,female,,,R-058,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,d4a08b40-8b96-4edb-bd66-2c3b98b79640,http://www.whaleshark.org/encounters/encounter.jsp?number=d4a08b40-8b96-4edb-bd66-2c3b98b79640,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,18,2014,4,18,,Red Sea,,,male,,,R-111,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
3/6/2017,WILDME,RhincodonTypus,e0107801-c4a8-4830-8402-14bd25211c4c,http://www.whaleshark.org/encounters/encounter.jsp?number=e0107801-c4a8-4830-8402-14bd25211c4c,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,18,2014,4,18,8:52,Near Al Lith Saudi Arabia,39.55078125,20.30341752,,"visually matches with R-074, scarring on dorsal fin consistent",,R-074,RedSea-ShibHabil,jsandrin@aol.com
1/18/2017,WILDME,RhincodonTypus,193f49a3-428e-4519-8841-e1ca69ae7ce8,http://www.whaleshark.org/encounters/encounter.jsp?number=193f49a3-428e-4519-8841-e1ca69ae7ce8,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,12,2014,4,12,,Red Sea,,,male,,,R-111,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
1/19/2017,WILDME,RhincodonTypus,5d00301c-c7a0-4e1f-b867-030b41a97c55,http://www.whaleshark.org/encounters/encounter.jsp?number=5d00301c-c7a0-4e1f-b867-030b41a97c55,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2014,4,12,2014,4,12,,Red Sea,,,female,,,R-118,RedSea-ShibHabil,michael.berumen@kaust.edu.sa
